DBInstanceIdentifier	DBInstanceClass	Engine	DBInstanceStatus	MasterUsername	DBName	AllocatedStorage	InstanceCreateTime	PreferredBackupWindow	BackupRetentionPeriod	DBSecurityGroups	VpcSecurityGroups	DBParameterGroups	AvailabilityZone	PreferredMaintenanceWindow	MultiAZ	EngineVersion	AutoMinorVersionUpgrade	ReadReplicaDBInstanceIdentifiers	LicenseModel	OptionGroupMemberships	PubliclyAccessible	StorageType	DbInstancePort	DBClusterIdentifier	StorageEncrypted	KmsKeyId	DbiResourceId	CACertificateIdentifier	DomainMemberships	CopyTagsToSnapshot	MonitoringInterval	EnhancedMonitoringResourceArn	MonitoringRoleArn	PromotionTier	DBInstanceArn	IAMDatabaseAuthenticationEnabled	PerformanceInsightsEnabled	PerformanceInsightsKMSKeyId	PerformanceInsightsRetentionPeriod	EnabledCloudwatchLogsExports	DeletionProtection	AssociatedRoles	TagList	CustomerOwnedIpEnabled	BackupTarget	Endpoint.Address	Endpoint.Port	Endpoint.HostedZoneId	DBSubnetGroup.DBSubnetGroupName	DBSubnetGroup.DBSubnetGroupDescription	DBSubnetGroup.VpcId	DBSubnetGroup.SubnetGroupStatus	DBSubnetGroup.Subnets	LatestRestorableTime	SecondaryAvailabilityZone	MaxAllocatedStorage	ActivityStreamStatus	ReadReplicaSourceDBInstanceIdentifier	StatusInfos	Iops	region_code
goodscentraldb-prod-1	db.r5.2xlarge	postgres	available	gds_admin	goodscentral_db	2000	2022-06-28 07:19:39.994000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-debug', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	True	arn:aws:kms:us-west-1:497256801702:key/mrk-20435c510ff141608437364b96e1ca20	db-FZPNKCJ46LIFJ7ZIWLWDJQ5TGA	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-FZPNKCJ46LIFJ7ZIWLWDJQ5TGA	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goodscentraldb-prod-1	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods-commerce-interface'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com '}, {'Key': 'Owner', 'Value': 'GDS'}, {'Key': 'TenantService', 'Value': 'goods-commerce-interface'}, {'Key': 'environment', 'Value': 'goodscentraldb-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32382'}]	False	region	goodscentraldb-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1c	3000.0	stopped	goodscentraldb-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goodscentraldb-prod-2	db.r5.2xlarge	postgres	available	gds_admin	goodscentral_db	2000	2022-07-05 17:19:47.721000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-debug', 'ParameterApplyStatus': 'in-sync'}]	us-west-1c	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	True	arn:aws:kms:us-west-1:497256801702:key/mrk-20435c510ff141608437364b96e1ca20	db-LVYJH6SUWMZO2R36HWQ5GMF2OM	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-LVYJH6SUWMZO2R36HWQ5GMF2OM	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goodscentraldb-prod-2	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods-commerce-interface'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com '}, {'Key': 'Owner', 'Value': 'GDS'}, {'Key': 'TenantService', 'Value': 'goods-commerce-interface'}, {'Key': 'environment', 'Value': 'goodscentraldb-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32382'}]	False	region	goodscentraldb-prod-2.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1a	3000.0	stopped	goodscentraldb-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goodscentraldb-prod-3	db.r5.2xlarge	postgres	available	gds_admin	goodscentral_db	2000	2022-07-05 18:18:32.955000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-debug', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	True	arn:aws:kms:us-west-1:497256801702:key/mrk-20435c510ff141608437364b96e1ca20	db-A7OHCLFOGTH6VHBDBHLPLABFVE	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-A7OHCLFOGTH6VHBDBHLPLABFVE	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goodscentraldb-prod-3	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods-commerce-interface'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com '}, {'Key': 'Owner', 'Value': 'GDS'}, {'Key': 'TenantService', 'Value': 'goods-commerce-interface'}, {'Key': 'environment', 'Value': 'goodscentraldb-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32382'}]	False	region	goodscentraldb-prod-3.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1c	3000.0	stopped	goodscentraldb-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goodscentraldb-prod-4	db.r5.2xlarge	postgres	available	gds_admin	goodscentral_db	2000	2022-07-05 18:18:31.665000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-debug', 'ParameterApplyStatus': 'in-sync'}]	us-west-1c	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	True	arn:aws:kms:us-west-1:497256801702:key/mrk-20435c510ff141608437364b96e1ca20	db-WEJEYVPIQAANKZR2DGQTKBHDBM	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-WEJEYVPIQAANKZR2DGQTKBHDBM	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goodscentraldb-prod-4	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods-commerce-interface'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com '}, {'Key': 'Owner', 'Value': 'GDS'}, {'Key': 'TenantService', 'Value': 'goods-commerce-interface'}, {'Key': 'environment', 'Value': 'goodscentraldb-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32382'}]	False	region	goodscentraldb-prod-4.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1a	3000.0	stopped	goodscentraldb-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goodscentraldb-prod-5	db.r5.2xlarge	postgres	available	gds_admin	goodscentral_db	2000	2022-07-05 22:37:36.069000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-debug', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	True	arn:aws:kms:us-west-1:497256801702:key/mrk-20435c510ff141608437364b96e1ca20	db-3LUF3EW42Z5DEL5AXC4VYWWUGQ	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-3LUF3EW42Z5DEL5AXC4VYWWUGQ	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goodscentraldb-prod-5	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	False	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods-commerce-interface'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com '}, {'Key': 'Owner', 'Value': 'GDS'}, {'Key': 'TenantService', 'Value': 'goods-commerce-interface'}, {'Key': 'environment', 'Value': 'goodscentraldb-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32382'}]	False	region	goodscentraldb-prod-5.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1c	3000.0	stopped	goodscentraldb-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goods-deletion-prod	db.r5.large	postgres	available	gds_admin	goods_deletion_prod	50	2021-04-09 07:15:51.408000+00:00	03:00-06:00	35	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	['goods-deletion-prod-1']	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-OMAHBIYYHDHAQUSS4KIKDCXYIQ	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-OMAHBIYYHDHAQUSS4KIKDCXYIQ	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-deletion-prod	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/deletion_service'}, {'Key': 'TenantTeam', 'Value': 'goods-cxx-dev@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'deletion_service'}, {'Key': 'environment', 'Value': 'goods-deletion-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-28073'}]	False	region	goods-deletion-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	2022-08-04 12:29:36+00:00	us-west-1c	1000.0	stopped	nan	nan	nan	usw1
goods-deletion-prod-1	db.r5.large	postgres	available	gds_admin	goods_deletion_prod	50	2021-04-09 07:33:59.192000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1c	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-NY6Y7XGQJB5NTMVNOM3K6YN464	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-NY6Y7XGQJB5NTMVNOM3K6YN464	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-deletion-prod-1	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/deletion_service'}, {'Key': 'TenantTeam', 'Value': 'goods-cxx-dev@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'deletion_service'}, {'Key': 'environment', 'Value': 'goods-deletion-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-28073'}]	False	region	goods-deletion-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1a	1000.0	stopped	goods-deletion-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goods-invoicing-prod	db.r5.xlarge	postgres	available	gds_admin	goods_invoicing_prod	500	2021-12-29 05:58:01.657000+00:00	03:00-06:00	35	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1c	mon:00:00-mon:03:00	True	11.15	False	['goods-invoicing-prod-1']	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-AIWXJE6HXQAYA5TYW6F5GVKYYM	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-AIWXJE6HXQAYA5TYW6F5GVKYYM	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-invoicing-prod	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods_invoice_aggregator'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'goods_invoice_aggregator'}, {'Key': 'environment', 'Value': 'goods-invoicing-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32457'}]	False	region	goods-invoicing-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	2022-08-04 12:34:35+00:00	us-west-1a	1000.0	stopped	nan	nan	nan	usw1
goods-invoicing-prod-1	db.r5.xlarge	postgres	available	gds_admin	goods_invoicing_prod	500	2021-12-29 06:16:48.762000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-ZPAFHJTLABN6WS4BKTGDWY7QHU	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-ZPAFHJTLABN6WS4BKTGDWY7QHU	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-invoicing-prod-1	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods_invoice_aggregator'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'goods_invoice_aggregator'}, {'Key': 'environment', 'Value': 'goods-invoicing-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-32457'}]	False	region	goods-invoicing-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1c	1000.0	stopped	goods-invoicing-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
goods-inv-s-r-prod	db.r5.large	postgres	available	gds_admin	goods_inv_s_r_prod	50	2021-05-13 10:21:45.341000+00:00	03:00-06:00	35	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1a	mon:00:00-mon:03:00	True	11.15	False	['goods-inv-s-r-prod-1']	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-FSL4GR7AIEMGCWSWQA47IOVMTQ	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-FSL4GR7AIEMGCWSWQA47IOVMTQ	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-inv-s-r-prod	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods_inventory_service'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'goods_inventory_service'}, {'Key': 'environment', 'Value': 'goods-inv-s-r-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-29541'}]	False	region	goods-inv-s-r-prod.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	2022-08-04 12:29:38+00:00	us-west-1c	1000.0	stopped	nan	nan	nan	usw1
goods-inv-s-r-prod-1	db.r5.large	postgres	available	gds_admin	goods_inv_s_r_prod	50	2021-05-13 10:41:18.653000+00:00	03:00-06:00	0	[]	[{'VpcSecurityGroupId': 'sg-0885a4ff24ced5962', 'Status': 'active'}]	[{'DBParameterGroupName': 'ipg-postgres11-small', 'ParameterApplyStatus': 'in-sync'}]	us-west-1c	mon:00:00-mon:03:00	True	11.15	False	[]	postgresql-license	[{'OptionGroupName': 'default:postgres-11', 'Status': 'in-sync'}]	False	gp2	0	nan	False	nan	db-VTHOOQFTSFCFDMZJ27JTL7YIXM	rds-ca-2019	[]	True	5	arn:aws:logs:us-west-1:497256801702:log-group:RDSOSMetrics:log-stream:db-VTHOOQFTSFCFDMZJ27JTL7YIXM	arn:aws:iam::497256801702:role/grpn_all_rds_enhanced_monitoring	nan	arn:aws:rds:us-west-1:497256801702:db:goods-inv-s-r-prod-1	False	True	arn:aws:kms:us-west-1:497256801702:key/19854482-f528-4825-a8d2-9b4d7f501ae6	7.0	nan	True	[]	[{'Key': 'service_portal', 'Value': 'https://services.groupondev.com/services/goods_inventory_service'}, {'Key': 'TenantTeam', 'Value': 'goods-eng-seattle@groupon.com'}, {'Key': 'Owner', 'Value': 'gds@groupon.com'}, {'Key': 'TenantService', 'Value': 'goods_inventory_service'}, {'Key': 'environment', 'Value': 'goods-inv-s-r-prod'}, {'Key': 'Service', 'Value': 'daas_postgres'}, {'Key': 'jira', 'Value': 'GDS-29541'}]	False	region	goods-inv-s-r-prod-1.czlsgz0xic0p.us-west-1.rds.amazonaws.com	5432	Z10WI91S59XXQN	sgroup-1	Managed by Terraform	vpc-0a38df8f4ac2b624c	Complete	[{'SubnetIdentifier': 'subnet-09c699f46d7f3898e', 'SubnetAvailabilityZone': {'Name': 'us-west-1a'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}, {'SubnetIdentifier': 'subnet-043d0ea85ff9bf10e', 'SubnetAvailabilityZone': {'Name': 'us-west-1c'}, 'SubnetOutpost': {}, 'SubnetStatus': 'Active'}]	NaT	us-west-1a	1000.0	stopped	goods-inv-s-r-prod	[{'StatusType': 'read replication', 'Normal': True, 'Status': 'replicating'}]	nan	usw1
