hostid	engine	Original JIRA	Core/Non-Core	Service Portal	DB_instance	Size	Blocker	Excelformula for pkmissing sheet	On-premise IP-RW	 DB VIP - RW	RDS VIP - RW	On-premise IP-RO	 DB VIP - RO	RDS VIP - RO	Region replica	jira	Expected Date	In Progress	Route53 RW Endpoint	Route53 RO Endpoint	Notes	Encrypted	hostid_dbname
gds_prod_snc1_db001	mysql	GDS-826	Core	grouponlive-inventory-service	glive_inventory_prod	204.4 GB		#N/A	10.30.16.23	gds-snc1-prod-glive-inventory-rw-vip.snc1	gds-glive-inventory-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.23	gds-snc1-prod-glive-inventory-ro-vip.snc1	gds-glive-inventory-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28714		Migrated			Completed and directed to AWS. But can still see entires in yml file. Also DB is up and running in onprem		gds_prod_snc1_db001glive_inventory_prod
gds_prod_snc1_db001	mysql	GDS-348	Non-Core	mmi/prodCAT	espresso_prod	0.0 GB		#N/A	10.30.16.33	gds-snc1-prod-mmi-rw-vip.snc1	gds-my-noncore-us-001-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.33	gds-snc1-prod-mmi-ro-vip.snc1	gds-my-noncore-us-001-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28075		Migrated			Completed and directed to AWS. But can still see entires in yml file		gds_prod_snc1_db001espresso_prod
gds_prod_snc1_db001	mysql	GDS-1103	Non-Core		phabricator_prod	8.5 GB		#N/A	10.30.16.61	gds-snc1-prod-phabricator-rw-vip.snc1		10.30.17.61	gds-snc1-prod-phabricator-ro-vip.snc1					Decommissioned			Unable to find instance or GDS ticket. But can see entries in yml file		gds_prod_snc1_db001phabricator_prod
gds_prod_snc1_db001	mysql	GDS-334	Non-Core	reviewboard	reviewboard_prod	6.8 GB		#N/A	10.30.16.62	gds-snc1-prod-reviewboard-rw-vip.snc1	gds-my-noncore-us-002-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.17.62	gds-snc1-prod-reviewboard-ro-vip.snc1	gds-my-noncore-us-002-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28708		Migrated					gds_prod_snc1_db001reviewboard_prod
gds_prod_snc1_db001	mysql	GDS-863	Core	pricing_service	pricing_dim_prod	12.3 MB		#N/A	10.30.16.37	gds-snc1-prod-pricing-dim-rw-vip.snc1	dedicated	10.30.17.37	gds-snc1-prod-pricing-dim-ro-vip.snc1					Decommissioned			Unable to find instance or GDS ticket. But can see entries in yml file		gds_prod_snc1_db001pricing_dim_prod
gds_prod_snc1_db001	mysql	GDS-1377	Non-Core		host_harvester_prod	4.1 GB 		#N/A	10.30.16.67	gds-snc1-prod-host-harvester-rw-vip.snc1		10.30.17.67	gds-snc1-prod-host-harvester-ro-vip.snc1					Decommissioned					gds_prod_snc1_db001host_harvester_prod
gds_prod_snc1_db001	mysql	GDS-835	Core	killbill-payments	killbill_latam_prod	4.4 GB		#N/A	10.30.16.15	gds-snc1-prod-killbill-latam-rw-vip.snc1	dedicated	10.30.17.15	gds-snc1-prod-killbill-latam-ro-vip.snc1					Decommissioned					gds_prod_snc1_db001killbill_latam_prod
gds_prod_snc1_db001	mysql	GDS-708	Non-Core	pricing_control_center	pricing_s4_prod	463.4 GB		#N/A	10.30.16.20	gds-snc1-prod-pricing-control-center-rw-vip.snc1	my-noncore-us-003-prod	10.30.17.20	gds-snc1-prod-pricing-control-center-ro-vip.snc1			GDS-28713		Decommissioned					gds_prod_snc1_db001pricing_s4_prod
gds_prod_snc1_db008	postgresql				mobile-notification				10.30.24.76	gds-snc1-prod-mobile-notification-new-rw-vip.snc1		10.30.25.76	gds-snc1-prod-mobile-notification-new-ro-vip.snc1					Decommissioned					gds_prod_snc1_db008mobile-notification
gds_prod_snc1_db009	mysql	GDS-1536	Non-Core		finch_experiments_prod	3.7 GB		#N/A	10.30.24.23	gds-snc1-prod-finch-experiments-rw-vip.snc1		10.30.25.23	gds-snc1-prod-finch-experiments-ro-vip.snc1					Decommissioned					gds_prod_snc1_db009finch_experiments_prod
gds_prod_snc1_db009	mysql	GDS-23179	Non-Core	rta-analytics	rta_analytics_prod			#N/A	10.30.24.27	gds-snc1-prod-rta-analytics-rw-vip.snc1		10.30.25.27	gds-snc1-prod-rta-analytics-ro-vip.snc1					Decommissioned					gds_prod_snc1_db009rta_analytics_prod
gds_prod_snc1_db009	mysql	GS-21938		transporter	merchant_trans_prod			#N/A	10.30.24.20	gds-snc1-prod-merchant-trans-rw-vip.snc1		10.30.25.20	gds-snc1-prod-merchant-trans-ro-vip.snc1			GDS-21938		Decommissioned					gds_prod_snc1_db009merchant_trans_prod
gds_prod_snc1_db009	mysql	GDS-1711	Non-Core	m3_starman	starman_prod	71.2 GB		#N/A	10.30.24.22	gds-snc1-prod-starman-rw-vip.snc1		10.30.25.22	gds-snc1-prod-starman-ro-vip.snc1			GDS-34227		Not Started			Marked for decommission		gds_prod_snc1_db009starman_prod
gds_prod_snc1_db009	mysql	GDS-1492	Core	crm-message-service	crm_msg_service_prod	2 GB		#N/A	10.30.24.25	gds-snc1-prod-crm-msg-service-rw-vip.snc1	dedicated	10.30.25.25	gds-snc1-prod-crm-msg-service-ro-vip.snc1			GDS-28884		Decommissioned					gds_prod_snc1_db009crm_msg_service_prod
gds_prod_snc1_db009	mysql	GDS-25755	Non-Core	Geekon tool	hindsight_prod	12MB		#N/A	10.30.24.18	gds-snc1-prod-hindsight-rw-vip.snc1	gds-my-noncore-us-004-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.18	gds-snc1-prod-hindsight-ro-vip.snc1	gds-my-noncore-us-004-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-31813		Migrated					gds_prod_snc1_db009hindsight_prod
gds_prod_snc1_db009	mysql	GDS-1277			custsvc_latam_prod			#N/A	10.30.24.15	gds-snc1-prod-custsvc-latam-rw-vip.snc1		10.30.25.15	gds-snc1-prod-custsvc-latam-ro-vip.snc1					Decommissioned					gds_prod_snc1_db009custsvc_latam_prod
gds_prod_snc1_db009	mysql	GDS-20293	Non-Core	affiliate-portal	afl_portal_prod			#N/A	10.30.24.14	gds-snc1-prod-afl-portal-rw-vip.snc1		10.30.25.14	gds-snc1-prod-afl-portal-ro-vip.snc1					Decommissioned					gds_prod_snc1_db009afl_portal_prod
gds_prod_snc1_db009	mysql	GDS-1704	Non-Core	deal-book-service	deal_book_service_prod	2.2 GB		#N/A	10.30.24.17	gds-snc1-prod-deal-book-service-rw-vip.snc1	gds-my-noncore-us-003-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.17	gds-snc1-prod-deal-book-service-ro-vip.snc1	gds-my-noncore-us-003-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28885		Migrated					gds_prod_snc1_db009deal_book_service_prod
gds_prod_snc1_db009	mysql	GDS-26409	Core	killbill-payments	card_purge_batch_prod	2 GB		#N/A	10.30.24.19	gds-snc1-prod-card-purge-batch-rw-vip.snc1	gds-card-purge-batch-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.19	gds-snc1-prod-card-purge-batch-ro-vip.snc1	gds-card-purge-batch-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28886		Migrated			Instance entries available in yml file		gds_prod_snc1_db009card_purge_batch_prod
gds_prod_snc1_db009	mysql	GDS-1672	Core	getaways-content	getaways_content_prod	41.9 GB		#N/A	10.30.24.28	gds-snc1-prod-getaways-content-rw-vip.snc1	gds-getaways-content-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.28	gds-snc1-prod-getaways-content-ro-vip.snc1	gds-getaways-content-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28887		Migrated			Onprem DB to be decommissioned		gds_prod_snc1_db009getaways_content_prod
gds_prod_snc1_db009	mysql	GDS-23253			groupon_sim_prod			#N/A	10.30.24.29	gds-snc1-prod-groupon-sim-rw-vip.snc1		10.30.25.29	gds-snc1-prod-groupon-sim-ro-vip.snc1			GDS-23253		Decommissioned					gds_prod_snc1_db009groupon_sim_prod
gds_prod_snc1_db010	postgresql	GDS-22942	Core	deal-performance-service-v2	deal_perf_v2_prod	173 GB	No	No	10.30.24.36	gds-snc1-prod-deal-perf-v2-rw-vip.snc1	dedicated	10.30.25.36	gds-snc1-prod-deal-perf-v2-ro-vip.snc1			GDS-29219		Migrated	gds-deal-perf-v2-prod-rw.prod.us-west-1.aws.groupondev.com	gds-deal-perf-v2-prod-ro.prod.us-west-1.aws.groupondev.com	Need to replace Route 53		gds_prod_snc1_db010deal_perf_v2_prod
gds_prod_snc1_db010	postgresql	GDS-21665	Non-Core		goods_insights_prod	86 GB	No	No	10.30.24.33	gds-snc1-prod-goods-insights-rw-vip.snc1		10.30.25.33	gds-snc1-prod-goods-insights-ro-vip.snc1			GDS-29943		Decommissioned					gds_prod_snc1_db010goods_insights_prod
gds_prod_snc1_db010	postgresql	GDS-1556 # __SOX__	Core		goods_mkt_orders_prod	2319 MB	PK Missing	Yes	10.30.24.39	gds-snc1-prod-goods-mkt-orders-rw-vip.snc1	dedicated	10.30.25.39	gds-snc1-prod-goods-mkt-orders-ro-vip.snc1					Unknown			"No Active conn, No wal Activity"		gds_prod_snc1_db010goods_mkt_orders_prod
gds_prod_snc1_db010	postgresql	GDS-1168			marketing_rt_rpt_prod				10.30.24.34	gds-snc1-prod-marketing-rt-rpt-rw-vip.snc1		10.30.25.34	gds-snc1-prod-marketing-rt-rpt-ro-vip.snc1					Decommissioned					gds_prod_snc1_db010marketing_rt_rpt_prod
gds_prod_snc1_db010	postgresql	GDS-2143	Non-Core		gls_datamart_prod				10.30.24.43	gds-snc1-prod-gls-datamart-rw-vip.snc1		10.30.25.43	gds-snc1-prod-gls-datamart-ro-vip.snc1					Decommissioned					gds_prod_snc1_db010gls_datamart_prod
gds_prod_snc1_db010	postgresql	GDS-2130 # __SOX__	Non-Core	goods-market-pricing	goods_mkt_pric_prod	808 GB	PK Missing	Yes	10.30.24.42	gds-snc1-prod-goods-market-pricing-rw-vip.snc1	dedicated	10.30.25.42	gds-snc1-prod-goods-market-pricing-ro-vip.snc1			GDS-34228		Migrated	gds-goods-market-pricing-prod-rw.prod.us-west-1.aws.groupondev.com	gds-goods-market-pricing-prod-ro.prod.us-west-1.aws.groupondev.com	Active conn.		gds_prod_snc1_db010goods_mkt_pric_prod
gds_prod_snc1_db010	postgresql	GDS-21560	Core	deletion_service	goods_deletion_prod	14MB	No	No	10.30.24.31	gds-snc1-prod-goods-deletion-rw-vip.snc1	dedicated	10.30.25.31	gds-snc1-prod-goods-deletion-ro-vip.snc1			GDS-28073		Migrated	gds-goods-deletion-prod-rw.prod.us-west-1.aws.groupondev.com	gds-goods-deletion-prod-ro.prod.us-west-1.aws.groupondev.com			gds_prod_snc1_db010goods_deletion_prod
gds_prod_snc1_db010	postgresql	GDS-23024	Core	dsp-airflow	dsp_airflow_wds_prod	186 MB	No	No	10.30.24.37	gds-snc1-prod-dsp-airflow-wds-rw-vip.snc1	dedicated	10.30.25.37	gds-snc1-prod-dsp-airflow-wds-ro-vip.snc1			GDS-29220		Decommissioned			This service will be decommissioned		gds_prod_snc1_db010dsp_airflow_wds_prod
gds_prod_snc1_db010	postgresql	GDS-23792	Non-Core		awx_prod	189 GB	No	No	10.30.24.38	gds-snc1-prod-awx-rw-vip.snc1		10.30.25.38	gds-snc1-prod-awx-ro-vip.snc1					Unknown			Active conn.		gds_prod_snc1_db010awx_prod
gds_prod_snc1_db010	postgresql	GDS-1448	Non-Core		confluence_prod				10.30.24.35	gds-snc1-prod-confluence-rw-vip.snc1		10.30.25.35	gds-snc1-prod-confluence-ro-vip.snc1					Decommissioned					gds_prod_snc1_db010confluence_prod
gds_prod_snc1_db010	postgresql	GDS-2257	Non-Core	quantum-engineered-data	qed_prod	103 MB	PK Missing	Yes	10.30.24.47	gds-snc1-prod-qed-rw-vip.snc1	pg_noncore_us_057_prod	10.30.25.47	gds-snc1-prod-qed-ro-vip.snc1			GDS-32497		Decommissioned	gds-pg-noncore-us-057-prod-rw.prod.us-west-1.aws.groupondev.com	gds-pg-noncore-us-057-prod-ro.prod.us-west-1.aws.groupondev.com			gds_prod_snc1_db010qed_prod
gds_prod_snc1_db010	postgresql	GDS-24729	Non-Core		awx_a_infosec_prod	397 MB	No	No	10.30.24.41	gds-snc1-prod-awx-a-infosec-rw-vip.snc1		10.30.25.41	gds-snc1-prod-awx-a-infosec-ro-vip.snc1					Unknown			Active conn.		gds_prod_snc1_db010awx_a_infosec_prod
gds_prod_snc1_db010	postgresql	GDS-25808	Core	bhuvan	bhuvan_prod	3149 MB	No	No	10.30.24.46	gds-snc1-prod-bhuvan-rw-vip.snc1	dedicated	10.30.25.46	gds-snc1-prod-bhuvan-ro-vip.snc1		Yes	GDS-30259		Migrated	gds-bhuvan-prod-rw.prod.us-west-1.aws.groupondev.com	gds-bhuvan-prod-ro.prod.us-west-1.aws.groupondev.com	Need to replace Route 53		gds_prod_snc1_db010bhuvan_prod
gds_prod_snc1_db010	postgresql	GDS-2302	Non-Core	m2le	message_ledger_prod	8035 GB	PK Missing	Yes	10.30.24.50	gds-snc1-prod-message-ledger-rw-vip.snc1	dedicated	10.30.25.50	gds-snc1-prod-message-ledger-ro-vip.snc1			GDS-30261		Not Started					gds_prod_snc1_db010message_ledger_prod
gds_prod_snc1_db010	postgresql	GDS-24817	Non-Core		merch_demograph_prod				10.30.24.44	gds-snc1-prod-merch-demograph-rw-vip.snc1		10.30.25.44	gds-snc1-prod-merch-demograph-ro-vip.snc1		Yes			Decommissioned					gds_prod_snc1_db010merch_demograph_prod
gds_prod_snc1_db013	mysql	GDS-21845	Core	optimize	opt_knowledge_prod	0.0 GB		#N/A	10.30.24.99	gds-snc1-prod-opt-knowledge-rw-vip.snc1	gds-opt-knowledge-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.99	gds-snc1-prod-opt-knowledge-ro-vip.snc1	gds-opt-knowledge-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28923		Migrated					gds_prod_snc1_db013opt_knowledge_prod
gds_prod_snc1_db013	mysql	GDS-21029	Non-Core	RPA	rpa_rundeck_prod	1.3 GB		#N/A	10.30.24.92	gds-snc1-prod-rpa-rundeck-rw-vip.snc1	gds-my-noncore-us-004-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.92	gds-snc1-prod-rpa-rundeck-ro-vip.snc1	gds-my-noncore-us-004-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28924		Migrated					gds_prod_snc1_db013rpa_rundeck_prod
gds_prod_snc1_db013	mysql	GDS-2013			hive_prod	16.6 GB		#N/A	10.30.24.121	gds-snc1-prod-hive-rw-vip.snc1		10.30.25.121	gds-snc1-prod-hive-ro-vip.snc1					Not Started					gds_prod_snc1_db013hive_prod
gds_prod_snc1_db013	mysql	GDS-3947	Core	shipment-tracker-frontend	shipment_tracker_prod	596.8 GB		#N/A	10.30.24.130	gds-snc1-prod-shipment-tracker-rw-vip.snc1	gds-shipment-tracker-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.130	gds-snc1-prod-shipment-tracker-ro-vip.snc1	gds-shipment-tracker-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28925		Migrated					gds_prod_snc1_db013shipment_tracker_prod
gds_prod_snc1_db013	mysql	GDS-2121 # __SOX__	Core	goods_stores	goods_stores_prod	5297.2 GB		#N/A	10.30.24.124	gds-snc1-prod-goods-stores-rw-vip.snc1	gds-goods-stores-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.124	gds-snc1-prod-goods-stores-ro-vip.snc1	gds-goods-stores-prod-ro.prod.us-west-1.aws.groupondev.com	Yes	GDS-28926		Migrated					gds_prod_snc1_db013goods_stores_prod
gds_prod_snc1_db013	mysql	GDS-1966	Non-Core	flying_dutchman	flying_dutchman_prod	0.4GB		#N/A	10.30.24.97	gds-snc1-prod-flying-dutchman-rw-vip.snc1	my-noncore-us-003-prod	10.30.25.97	gds-snc1-prod-flying-dutchman-ro-vip.snc1			GDS-28927		Decommissioned					gds_prod_snc1_db013flying_dutchman_prod
gds_prod_snc1_db013	mysql	GDS-21500			almighty_prod	NA		#N/A	10.30.24.93	gds-snc1-prod-almighty-rw-vip.snc1		10.30.25.93	gds-snc1-prod-almighty-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013almighty_prod
gds_prod_snc1_db013	mysql	GDS-2198			blacklist_rule_prod			#N/A	10.30.24.125	gds-snc1-prod-blacklist-rule-rw-vip.snc1		10.30.25.125	gds-snc1-prod-blacklist-rule-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013blacklist_rule_prod
gds_prod_snc1_db013	mysql	GDS-1893 # __SOX__	Core		glive_3rd_party_prod	0.2 GB		#N/A	10.30.24.95	gds-snc1-prod-glive-3rd-party-rw-vip.snc1	gds-glive-3rd-party-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.95	gds-snc1-prod-glive-3rd-party-ro-vip.snc1	gds-glive-3rd-party-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-29785		Migrated			yml entries are available in yml file. Also DB is up		gds_prod_snc1_db013glive_3rd_party_prod
gds_prod_snc1_db013	mysql	GDS-3844	Non-Core	codeburner	codeburner_prod	NA		#N/A	10.30.24.127	gds-snc1-prod-codeburner-rw-vip.snc1	my-noncore-us-001-prod	10.30.25.127	gds-snc1-prod-codeburner-ro-vip.snc1			GDS-33363		Decommissioned					gds_prod_snc1_db013codeburner_prod
gds_prod_snc1_db013	mysql	GDS-1983			problem_mgmt_prod			#N/A	10.30.24.98	gds-snc1-prod-problem-mgmt-rw-vip.snc1		10.30.25.98	gds-snc1-prod-problem-mgmt-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013problem_mgmt_prod
gds_prod_snc1_db013	mysql	GDS-1995			local_intelli_prod			#N/A	10.30.24.100	gds-snc1-prod-local-intelli-rw-vip.snc1		10.30.25.100	gds-snc1-prod-local-intelli-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013local_intelli_prod
gds_prod_snc1_db013	mysql	GDS-1849	Non-Core	drinking_bird	drinking_bird_prod	0.1 GB		#N/A	10.30.24.94	gds-snc1-prod-drinking-bird-rw-vip.snc1	gds-my-noncore-us-001-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.94	gds-snc1-prod-drinking-bird-ro-vip.snc1	gds-my-noncore-us-001-prod-ro.prod.us-west-1.aws.groupondev.com	No	GDS-27516		Migrated					gds_prod_snc1_db013drinking_bird_prod
gds_prod_snc1_db013	mysql	GDS-21583			merchant_market_prod	NA		#N/A	10.30.24.96	gds-snc1-prod-merchant-market-rw-vip.snc1		10.30.25.96	gds-snc1-prod-merchant-market-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013merchant_market_prod
gds_prod_snc1_db013	mysql	GDS-2163			da_prn_abst_app_prod	NA		#N/A	10.30.24.91	gds-snc1-prod-da-prn-abst-app-rw-vip.snc1		10.30.25.91	gds-snc1-prod-da-prn-abst-app-ro-vip.snc1					Decommissioned					gds_prod_snc1_db013da_prn_abst_app_prod
gds_prod_snc1_db013	mysql	GDS-3918	Non-Core	deploybot	deployboy_prod	0.3 GB		#N/A	10.30.24.128	gds-snc1-prod-deployboy-rw-vip.snc1	gds-my-noncore-us-006-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.128	gds-snc1-prod-deployboy-ro-vip.snc1	gds-my-noncore-us-006-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28928		Migrated					gds_prod_snc1_db013deployboy_prod
gds_prod_snc1_db013	mysql	GDS-3946	Core	goods-outbound-controller	goods_ob_control_prod	908.1 GB		#N/A	10.30.24.129	gds-snc1-prod-goods-ob-control-rw-vip.snc1	gds-goods-ob-control-prod-rw.prod.us-west-1.aws.groupondev.com	10.30.25.129	gds-snc1-prod-goods-ob-control-ro-vip.snc1	gds-goods-ob-control-prod-ro.prod.us-west-1.aws.groupondev.com		GDS-28929		Migrated			Onprem to be decomissioned		gds_prod_snc1_db013goods_ob_control_prod
gds_prod_snc1_db014	postgresql	GDS-2355 # __SOX__	Core	goods_invoice_aggregator	goods_invoicing_prod	169 GB	No	No	10.30.24.66	gds-snc1-prod-goods-invoicing-rw-vip.snc1	dedicated	10.30.25.66	gds-snc1-prod-goods-invoicing-ro-vip.snc1		No	GDS-32457		Migrated	gds-goods-invoicing-prod-rw.prod.us-west-1.aws.groupondev.com	gds-goods-invoicing-prod-ro.prod.us-west-1.aws.groupondev.com			gds_prod_snc1_db014goods_invoicing_prod
gds_prod_snc1_db014	postgresql	GDS-2056	Non-Core		pay_groupon_prod	9243 kB	PK Missing	Yes	10.30.24.112	gds-snc1-prod-pay-with-groupon-rw-vip.snc1		10.30.25.112	gds-snc1-prod-pay-with-groupon-ro-vip.snc1					Decommissioned			still up and Running for more than 1 years		gds_prod_snc1_db014pay_groupon_prod
